Airport Code,Airport Name,CityName,Airport Country
EGHQ,ST MAWGAN/NEWQUAY CORNWALL,,UNITED KINGDOM
EGIB,,,UNITED KINGDOM
EGJB,GUERNSEY,GUERNSEY,UNITED KINGDOM
EGJJ,JERSEY,JERSEY,UNITED KINGDOM
EGKB,BIGGIN HILL,BIGGIN HILL,UNITED KINGDOM
EGKK,LONDON (GATWICK),LONDON   SUD 2,UNITED KINGDOM
EGLC,LONDON CITY,LONDON,UNITED KINGDOM
EGLF,FARNBOROUGH,FARNBOROUGH,UNITED KINGDOM
EGLF,FARNBOROUGH DERA,,UNITED KINGDOM
EGLL,LONDON(HEATHROW),LONDON,UNITED KINGDOM
EGMC,SOUTHEND,SOUTHEND,UNITED KINGDOM
EGMH,MANSTON,,UNITED KINGDOM
EGNC,CARLISLE,CARLISLE,UNITED KINGDOM
EGNH,BLACKPOOL,BLACKPOOL,UNITED KINGDOM
EGNJ,HUMBERSIDE,,UNITED KINGDOM
EGNM,LEEDS,,UNITED KINGDOM
EGNR,CHESTER(HAWARDEN),,UNITED KINGDOM
EGNS,ISLE OF MAN,ISLE OF MAN,UNITED KINGDOM
EGNT,NEWCASTLE,NEWCASTLE,UNITED KINGDOM
EGNV,TEES-SIDE,,UNITED KINGDOM
EGNX,EAST MIDLANDS,Derby,UNITED KINGDOM
EGPA,KIRKWALL,,UNITED KINGDOM
EGPB,SUMBURGH,SUMBURGH,UNITED KINGDOM
EGPC,WICK,,UNITED KINGDOM
EGPD,DYCE,ABERDEEN,UNITED KINGDOM
EGPE,INVERNESS,INVERNESS,UNITED KINGDOM
EGPF,GLASGOW,GLASGOW,UNITED KINGDOM
EGPH,EDINBURGH(UK),,UNITED KINGDOM
EGPI,ISLAY,ISLAY,UNITED KINGDOM
EGPK,PRESTWICK,,UNITED KINGDOM
EGPL,BENBECULA,BENBECULA,UNITED KINGDOM
EGPN,DUNDEE,DUNDEE,UNITED KINGDOM
EGPO,STORNOWAY,,UNITED KINGDOM
EGPR,BARRA,BARRA,UNITED KINGDOM
EGPT,PERTH(SCONE),,UNITED KINGDOM
EGPU,TIREE,TIREE,UNITED KINGDOM
EGQK,KINLOSS AB,,UNITED KINGDOM
EGQL,LEUCHARS AB,,UNITED KINGDOM
EGSC,CAMBRIDGE,,UNITED KINGDOM
EGSH,NORWICH,NORWICH,UNITED KINGDOM
EGSS,STANSTED,london,UNITED KINGDOM
EGTE,EXETER,,UNITED KINGDOM
EGTG,BRISTOL FILTON,,UNITED KINGDOM
EGTH,HATFIELD,,UNITED KINGDOM
EGUB,BENSON AB,,UNITED KINGDOM
EGUD,ABINGDON AB,,UNITED KINGDOM
EGUN,MILDENHALL AB,,UNITED KINGDOM
EGVA,FAIRFORD AB,,UNITED KINGDOM
EGVG,WOODBRIDGE AB,,UNITED KINGDOM
EGVN,BRIZE NORTON AB,,UNITED KINGDOM
EGVO,ODIHAM AB,,UNITED KINGDOM
EGWU,NORTHOLT,,UNITED KINGDOM
EGWZ,ALCONBURY AB,,UNITED KINGDOM
EGXI,FINNINGLEY AB,,UNITED KINGDOM
EGXP,SCAMPTON AB,,UNITED KINGDOM
EGXW,WADDINGTON AB,,UNITED KINGDOM
EGYC,COLTISHALL AB,,UNITED KINGDOM
EGYP,MOUNT PLEASANT,MOUNT PLEASANT,FALKLAND ISLANDS
EHAM,AMSTERDAM,AMSTERDAM,NETHERLANDS
EHAM,SCHIPHOL,AMSTERDAM,NETHERLANDS
EHBK,MAASTRICHT,,NETHERLANDS
EHDL,ARNHEM/DEELEN AB,,NETHERLANDS
EHEH,EINDHOVEN AB,,NETHERLANDS
EHGG,EELDE,GRONINGEN,NETHERLANDS
EHLW,LEEUWARDEN AB,,NETHERLANDS
EHRD,ROTTERDAM,ROTTERDAM,NETHERLANDS
EHTW,ENSCHEDE,,NETHERLANDS
EHWO,WOENSDRECHT,,NETHERLANDS
EICK,CORK,,IRELAND
EICM,CARNMORE,GALWAY,IRELAND
EIDL,DONEGAL,DONEGAL,IRELAND
EIDW,DUBLIN,DUBLIN,IRELAND
EIKN,CONNAUGHT,,IRELAND
EIKY,KERRY,,IRELAND
EINN,SHANNON,,IRELAND
EISG,SLIGO,SLIGO,IRELAND
EIWF,WATERFORD,WATERFORD,IRELAND
EKAH,Aarhus,Århus,DENMARK
EKBI,BILLUND,BILLUND,DENMARK
EKCH,Copenhagen,Copenhagen,DENMARK
EKEB,ESBJERG,,DENMARK
EKKA,Karup,Karup,DENMARK
EKOD,ODENSE,ODENSE,DENMARK
EKRK,,,DENMARK
EKRN,Rønne,Rønne,DENMARK
EKSB,,Sønderborg,DENMARK
EKSN,SINDAL,SINDAL,DENMARK
EKSP,SKRYDSTRUP AB,,DENMARK
EKTS,THISTED,THISTED,DENMARK
EKVG,VAGAR,VAGAR,FAROE ISLANDS
EKVJ,Stavning Lufthavn,Stavning,DENMARK
EKYT,Aalborg,Aalborg,DENMARK
ELI,ELIM,ELIM,UNITED STATES
ELLX,LUXEMBOURG,LUXEMBOURG,LUXEMBOURG
ELME,,,ITALY
ENAL,ALESUND,,NORWAY
ENAN,ANDENES,ANDENES,NORWAY
ENAT,ALTA,ALTA,NORWAY
ENBL,BRINGELAND,FORDE,NORWAY
ENBN,BRONNOY,BRONNOYSUND,NORWAY
ENBO,BODO,BODO,NORWAY
ENBR,FLESLAND,BERGEN,NORWAY
ENCN,KJEVIK,KRISTIANSAND,NORWAY
ENDI,GEILO,GEILO,NORWAY
ENDU,BARDUFOSS AB,BARDUFOSS,NORWAY
ENEV,HARSTAD-NARVIK,EVENES,NORWAY
ENFB,FORNEBU,OSLO,NORWAY
ENFG,FAGERNS,,NORWAY
ENGM,OSLO,OSLO,NORWAY
ENHD,KARMOY,HAUGESUND,NORWAY
ENHK,HASVIK,HASVIK,NORWAY
ENKB,KVERNBERGET,KRISTIANSUND,NORWAY
ENKR,HOYBUKTMOEN,KIRKENES,NORWAY
ENLI,LISTA AB,,NORWAY
ENM,EMMONAK,EMMONAK,UNITED STATES
ENML,ARO,MOLDE,NORWAY
ENNA,LAKSELV,LAKSELV,NORWAY
ENOL,ORLAND AB,,NORWAY
ENRO,ROROS,,NORWAY
ENRY,MOSS,,NORWAY
ENSB,LONGYEAR,SVALBARD,SVALBARD AND JAN MAYEN
ENSG,HAUKASEN,SOGNDAL,NORWAY
ENSN,GEITERYGGEN,SKIEN,NORWAY
ENSO,SORSTOKKEN,STORD,NORWAY
ENSS,SVARTNES,VARDO,NORWAY
ENST,STOKKA,SANDNESSJOEN,NORWAY
ENTC,TROMSO,TROMSO,NORWAY
ENTO,TORP,,NORWAY
ENVA,TRONDHEIM,,NORWAY
ENZV,STAVANGER,,NORWAY
EPBY,BYDGOSZCZ,Bydgoszcz,POLAND
EPGD,Lech Walesa (GDANSK),GDANSK,POLAND
EPKK,KRAKOW,,POLAND
EPKT,PYRZOWICE,KATOWICEI   ARRIVEE  T C  ///  DEPART T A,POLAND
EPLB,Lublin,,POLAND
EPLL,LUBLINEK,LODZ,POLAND
EPPO,POZNAN,LAWICA,POLAND
EPRZ,RZESZOW,,POLAND
EPSC,GOLENIOW,,POLAND
EPWA,WARSAW,WARSAW  TA,POLAND
EPWR,Wroclaw,Wroclaw,POLAND
EPZG,ZIELONA GORA,,POLAND
ESCL,SODERHAMN,,SWEDEN
ESDF,RONNEBY AB,,SWEDEN
ESGG,GOTEBORG(LAND),,SWEDEN
ESGJ,JONKOPING,,SWEDEN
ESGL,LIDKOPING,,SWEDEN
ESGP,SAVE AB,GOTEBORG,SWEDEN
ESGR,SKOVDE,SKOVDE,SWEDEN
ESGT,TROLLHATTAN-VANERSBORG,TROLLHATTAN-VANERSBORG,SWEDEN
ESKM,SILJAN,MORA,SWEDEN
ESKN,STOCKHOLM/SKAVSTA,,SWEDEN
ESMK,KRISTIANSTAD(EV),,SWEDEN
ESMO,OSKARSHAMN,OSKARSHAMN,SWEDEN
ESMQ,KALMAR AB,KALMAR,SWEDEN
ESMS,MALMO,,SWEDEN
ESMT,HALMSTAD AB,,SWEDEN
ESMV,Hemavan,Hemavan,SINGAPORE
ESMX,VAXJO(KRONOBERG),,SWEDEN
ESND,SVEG,SVEG,SWEDEN
ESNG,GALLIVARE,GALLIVARE,SWEDEN
ESNH,HUDIKSVALL,HUDIKSVALL,SWEDEN
ESNK,KRAMFORS AB,,SWEDEN
ESNL,LYCKSELE,LYCKSELE,SWEDEN
ESNN,SUNDSVALL-HARNOSAND,SUNDSVALL-HARNOSAND,SWEDEN
ESNO,ORNSKOLDSVIK,ORNSKOLDSVIK,SWEDEN
ESNQ,KIRUNA,KIRUNA,SWEDEN
ESNS,SKELLEFTEA,SKELLEFTEA,SWEDEN
ESNU,UMEA,,SWEDEN
ESNV,VILHELMINA,VILHELMINA,SWEDEN
ESNX,ARVIDSJAUR,ARVIDSJAUR,SWEDEN
ESNZ,,Oestersund,SWEDEN
ESOE,OREBRO,,SWEDEN
ESOH,HAGFORS,HAGFORS,SWEDEN
ESOK,KARLSTAD,,SWEDEN
ESOW,VASTERAS,,SWEDEN
ESPA,KALLAX AB,LULEA,SWEDEN
ESSA,ARLANDA,STOCKHOLM,SWEDEN
ESSB,BROMMA,STOCKHOLM,SWEDEN
ESSD,BORLANGE,,SWEDEN
ESSF,HULTSFRED AB,HULTSFRED,SWEDEN
ESSK,GAVLE(SAND),,SWEDEN
ESSL,LINKOPING(SAAB),,SWEDEN
ESSP,NORRKOPING/KUNGSANGEN,,SWEDEN
ESST,FRYKLANDA,TORSBY,SWEDEN
ESSV,VISBY,VISBY,SWEDEN
ESTA,ANGELHOLM,,SWEDEN
ESTL,Ljungbyhed flygplats,,SWEDEN
ESUE,IDRE,IDRE,SWEDEN
ETAA,FRANKFURT AB,,GERMANY
ETAD,SPANGDAHLEM AB,,GERMANY
ETAR,RAMSTEIN AB,,GERMANY
ETNG,GEILENKIRCHEN AB,,GERMANY
ETNL,LAAGE A/B,laage,GERMANY
ETOU,WIESBADEN,,GERMANY
ETPS,,,BELGIUM
ETSF,FURSTENFELDBRUCK AB,,GERMANY
ETSI,Ingolstadt,Ingolstadt/Manching,GERMANY
ETUL,LAARBRUCH AB,,GERMANY
ETUO,GUTERSLOH AB,,GERMANY
ETUR,BRUGGEN AB,,GERMANY
EVLA,LIEPAYA,,LATVIA
EVRA,RIGA,,LATVIA
EYKA,KAUNAS,,LITHUANIA
EYPA,PALANGA,,LITHUANIA
EYSA,,,LITHUANIA
EYVI,VILNIUS,,LITHUANIA
FAAB,ALEXANDER BAY,ALEXANDER BAY,SOUTH AFRICA
FABL,J.B.M. HERTZOG,BLOEMFONTEIN,SOUTH AFRICA
FACT,CAPE TOWN INTERNATIONAL AIRPORT,CAPE TOWN,SOUTH AFRICA
FADN,DURBAN LOUIS BOTHA,DURBAN,SOUTH AFRICA
FAEL,BEN SCHOEMAN,EAST LONDON,SOUTH AFRICA
FAGG,GEORGE P.W. BOTHA,GEORGE,SOUTH AFRICA
FAHT,HOEDSPRUIT,HOEDSPRUIT,SOUTH AFRICA
FAKM,B.J. VORSTER,KIMBERLEY,SOUTH AFRICA
FAKN,Nelspruit Kruger Mpumalanga Intl,MBOMBELA,SOUTH AFRICA
FAKZ,KLEINSEE,KLEINSEE,SOUTH AFRICA
FALA,Lanseria International Airport,Johannesburg,SOUTH AFRICA
FAMG,MARGATE,MARGATE,SOUTH AFRICA
FAMM,MMABATHO INTL,MMABATHO,SOUTH AFRICA
FAOR,O R Tambo International,Johannesburg,SOUTH AFRICA
FAPE,H.F.VERWOERD,PORT ELIZABETH,SOUTH AFRICA
FAPG,PLETTENBERG BAY,PLETTENBERG BAY,SOUTH AFRICA
FAPH,HENDRIK VAN ECK,PHALABORWA,SOUTH AFRICA
FAPI,PIETERSBURG,PIETERSBURG,SOUTH AFRICA
FAPM,ORIBI,PIETERMARITZBURG,SOUTH AFRICA
FAPN,SUN CITY,SUN CITY,SOUTH AFRICA
FARB,RICHARDS BAY,RICHARDS BAY,SOUTH AFRICA
FASB,SPRINGBOK,SPRINGBOK,SOUTH AFRICA
FASZ,SKUKUZA,SKUKUZA,SOUTH AFRICA
FAUL,PRINCE M.BUTHELEZI,ULUNDI,SOUTH AFRICA
FAUP,PIERRE VAN RYNEVELD,UPINGTON,SOUTH AFRICA
FAUT,UMTATA K.D. MATANZIMA,UMTATA,SOUTH AFRICA
FBFT,FRANCISTOWN,FRANCISTOWN,BOTSWANA
FBKE,KASANE,KASANE,BOTSWANA
FBMN,MAUN,MAUN,BOTSWANA
FBSK,KHAMA INTL,GABORONE,BOTSWANA
FCBB,MAYA-MAYA,BRAZZAVILLE,CONGO
FCBY,YOKANGASSI,NKAYI,CONGO
FCPL,LOUBOMO,LOUBOMO,CONGO
FCPP,POINTE NOIRE,POINTE NOIRE,CONGO
FDMS,MATSAPHA,MANZINI,SWAZILAND
FEFF,MPOKO,BANGUI,CENTRAL AFRICAN REPUBLIC
FGBT,BATA,BATA,EQUATORIAL GUINEA
FGSL,MALABO,MALABO,EQUATORIAL GUINEA
FIMP,MAURITIUS INTL,MAURITIUS,MAURITIUS
FIMR,PLAINE CORAIL,RODRIGUES,MAURITIUS
FIN,FINSCHHAFEN,FINSCHHAFEN,PAPUA NEW GUINEA
FKKD,DOUALA,DOUALA,CAMEROON
FKKL,MAROUA,,CAMEROON
FKKN,NGAOUNDERE,NGAOUNDERE,CAMEROON
FKKO,BERTOUA,BERTOUA,CAMEROON
FKKR,GAROUA,GAROUA,CAMEROON
FKKY,YAOUNDE VILLE,YAOUNDE,CAMEROON
FKYS,NSIMALEN (YAOUNDE),YAOUNDE,CAMEROON
FLLI,LIVINGSTONE,LIVINGSTONE,ZAMBIA
FLLS,LUSAKA INTL,LUSAKA,ZAMBIA
FLMF,MFUWE,MFUWE,ZAMBIA
FLSK,NDOLA,NDOLA,ZAMBIA
FLT,FLAT,FLAT,UNITED STATES
FMCH,HAHAIA,MORONI,COMOROS
FMCN,ICONI,MORONI,COMOROS
FMCZ,PAMANZI,DZAOUDZI,COMOROS
FMEE,GILLOT,SAINT DENIS DE LA REUNION,REUNION
FMMG,ANTSALOVA,ANTSALOVA,MADAGASCAR
FMMH,MAHANORO,MAHANORO,MADAGASCAR
FMMI,IVATO,ANTANANARIVO,MADAGASCAR
FMMK,ANKAVANDRA,ANKAVANDRA,MADAGASCAR
FMML,BELO SUR TSIRIBIHINA,BELO SUR TSIRIBIHINA,MADAGASCAR
FMMN,MIANDRIVAZO,MIANDRIVAZO,MADAGASCAR
FMMO,MAINTIRANO,MAINTIRANO,MADAGASCAR
FMMS,SAINTE-MARIE,SAINTE-MARIE,MADAGASCAR
FMMT,TOAMASINA,TOAMASINA,MADAGASCAR
FMMU,TAMBOHORANO,TAMBOHORANO,MADAGASCAR
FMMV,MORONDAVA,MORONDAVA,MADAGASCAR
FMMX,TSIROANOMANDIDY,TSIROANOMANDIDY,MADAGASCAR
FMMY,VATOMANDRY SOUTH,VATOMANDRY,MADAGASCAR
FMMZ,AMBATONDRAZAKA,AMBATONDRAZAKA,MADAGASCAR
FMNA,ARRACHART,ANTSIRANANA,MADAGASCAR
FMNC,MANANARA NORTH,MANANARA,MADAGASCAR
FMNE,MAHAVAVY,AMBILOBE,MADAGASCAR
FMNG,PORT BERGE,PORT BERGE,MADAGASCAR
FMNH,ANTSIRABATO,ANTALAHA,MADAGASCAR
FMNJ,AMBALAVELONA,AMBANJA,MADAGASCAR
FMNL,ANALALAVA,ANALALAVA,MADAGASCAR
FMNM,AMBOROVY,MAHAJANGA,MADAGASCAR
FMNN,FASCENE,NOSY-BE,MADAGASCAR
FMNO,SOALALA,SOALALA,MADAGASCAR
FMNQ,BESALAMPY,BESALAMPY,MADAGASCAR
FMNR,MAROANTSETRA,MAROANTSETRA,MADAGASCAR
FMNS,SAMBAVA SOUTH,SAMBAVA,MADAGASCAR
FMNT,TSARATANANA,TSARATANANA,MADAGASCAR
FMNV,VOHEMAR,VOHEMAR,MADAGASCAR
FMNW,AMBALABE,ANTSOHIHY,MADAGASCAR
FMNX,MANDRITSARA,MANDRITSARA,MADAGASCAR
FMSD,TOLAGNARO,TOLAGNARO,MADAGASCAR
FMSF,FIANARANTSOA,FIANARANTSOA,MADAGASCAR
FMSG,FARAFANGANA,FARAFANGANA,MADAGASCAR
FMSJ,MANJA,MANJA,MADAGASCAR
FMSK,MANAKARA SOUTH,MANAKARA,MADAGASCAR
FMSM,MANANJARY,MANANJARY,MADAGASCAR
FMSR,MOROMBE,MOROMBE,MADAGASCAR
FMST,TOLIARA,TOLIARA,MADAGASCAR
FNBG,BENGUELA,BENGUELA,ANGOLA
FNCA,CABINDA,CABINDA,ANGOLA
FNCM,CAMABATELA,CAMABATELA,ANGOLA
FNHU,HUAMBO,HUAMBO,ANGOLA
FNKU,KUITO,KUITO,ANGOLA
FNLU,4TH OF FEBRUARY,LUANDA,ANGOLA
FNMA,MALANGE,MALANGE,ANGOLA
FNME,MENONGUE,MENONGUE,ANGOLA
FNSA,SAURIMO,SAURIMO,ANGOLA
FNSO,SOYO,SOYO,ANGOLA
FNUB,LUBANGO,LUBANGO,ANGOLA
FOGM,MOUILA VILLE,MOUILA,GABON
FOGO,OYEM,OYEM,GABON
FOGQ,OKONDJA,OKONDJA,GABON
FOGR,LAMBARENE,LAMBARENE,GABON
FOOB,BITAM,BITAM,GABON
FOOD,MOANDA,MOANDA,GABON
FOOG,PORT GENTIL,PORT GENTIL,GABON
FOOH,OMBOUE HOSPITAL,OMBOUE HOSPITAL,GABON
FOOK,MAKOKOU,MAKOKOU,GABON
FOOL,LEON MBA (LIBREVILLE),LIBREVILLE,GABON
FOOM,MITZIC,MITZIC,GABON
FOON,MVENGUE,FRANCEVILLE,GABON
FOOR,LASTOURVILLE,LASTOURVILLE,GABON
FOOT,TCHIBANGA,TCHIBANGA,GABON
FPPR,PRINCIPE,PRINCIPE,SAO TOME AND PRINCIPE
FPST,SAO TOME,SAO TOME,SAO TOME AND PRINCIPE
FQBR,BEIRA,BEIRA,MOZAMBIQUE
FQLC,LICHINGA,LICHINGA,MOZAMBIQUE
FQMA,MAPUTO,MAPUTO,MOZAMBIQUE
FQNP,NAMPULA,NAMPULA,MOZAMBIQUE
FQPB,PEMBA,PEMBA,MOZAMBIQUE
FQQL,QUELIMANE,QUELIMANE,MOZAMBIQUE
FQTT,CHINGOZI,TETE,MOZAMBIQUE
FQVL,VILANKULU,VILANKULU,MOZAMBIQUE
FSIA,SEYCHELLES INTL,SEYCHELLES,SEYCHELLES
FSPP,PRASLIN,PRASLIN,SEYCHELLES
FTTC,ABECHE,,CHAD
FTTJ,N'DJAMENA,,CHAD
FTTY,FAYA LARGEAU,,CHAD
FVBU,BULAWAYO,BULAWAYO,ZIMBABWE
FVCZ,BUFFALO RANGE,CHIREDZI,ZIMBABWE
FVFA,VICTORIA FALLS,VICTORIA FALLS,ZIMBABWE
FVHA,HARARE INTL,HARARE,ZIMBABWE
FVKB,KARIBA,KARIBA,ZIMBABWE
FVMV,MASVINGO,MASVINGO,ZIMBABWE
FVWN,HWANGE NATIONAL PARK,HWANGE,ZIMBABWE
FWCL,CHILEKA,BLANTYRE,MALAWI
FWKA,KARONGA,KARONGA,MALAWI
FWKI,KAMUZU INTL,LILONGWE,MALAWI
FWUU,MZUZU,MZUZU,MALAWI
FXMM,MOSHOESHOE I INTL,MASERU,LESOTHO
FYKT,KEETMANSHOOP,KEETMANSHOOP,NAMIBIA
FYLZ,LUDERITZ,LUDERITZ,NAMIBIA
FYMP,MPACHA,MPACHA,NAMIBIA
FYOA,ONDANGWA,ONDANGWA,NAMIBIA
FYOG,ORANJEMUND,ORANJEMUND,NAMIBIA
FYRK,WALVIS BAY,WALVIS BAY,NAMIBIA
FYSM,SWAKOPMUND,SWAKOPMUND,NAMIBIA
FYTM,TSUMEB,TSUMEB,NAMIBIA
FYU,FT YUKON,FT YUKON,UNITED STATES
FYWE,EROS,WINDHOEK,NAMIBIA
FYWH,WINDHOEK,WINDHOEK,NAMIBIA
FZAA,NDJILI INTL,KINSHASA,"CONGO,DR"
FZAM,MATADI-TSHIMPI,MATADI-TSHIMPI,"CONGO,DR"
